pk_review,date_collected,cmtid,itemid,shopid,author_username,rating_star,no_tag,pos_good_quality,pos_excellent_quality,pos_very_accomodating,pos_well_packaged,pos_item_shipped_immediately,pos_will_order_again,neg_defective,neg_did_not_receive_item,neg_damaged_packaging,neg_will_not_order_again,neg_rude_seller,neg_item_shipped_late,neg_item_different_from_picture
202106134738517427,2021-06-13,4738517427,3550379942,130651949,tinswift28,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
202106134044625510,2021-06-13,4044625510,3550379942,130651949,e*****y,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202106133650759656,2021-06-13,3650759656,3550379942,130651949,e*****e,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202106134565004719,2021-06-13,4565004719,7543788697,25717546,t*****n,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202106133669255641,2021-06-13,3669255641,7543788697,25717546,gorchoice_,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202106132966695395,2021-06-13,2966695395,7543788697,25717546,c*****s,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202106134997399691,2021-06-13,4997399691,9312209380,130651949,m*****3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202106134310700444,2021-06-13,4310700444,9312209380,130651949,marynicolejucovelasquez,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202106134204349015,2021-06-13,4204349015,9312209380,130651949,k*****z,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202106134858045247,2021-06-13,4858045247,5640404015,1083822,d*****o,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
